RA ,DEC ,D ,AbsBMag
192.7229 , 41.1194 ,    4.66 ,   -19.9
190.3867 , 41.1508 ,    7.90 ,   -18.3
154.0650 , 41.1664 ,   11.12 ,   -14.9
 10.6854 , 41.2692 ,    0.77 ,   -21.4
190.4696 , 41.2739 ,    7.90 ,   -16.5
351.1767 , 41.3481 ,    7.90 ,   -16.1
154.5708 , 41.4244 ,   11.12 ,   -20.0
187.6517 , 41.6436 ,    5.80 ,   -19.4
187.6300 , 41.7000 ,    5.80 ,   -16.7
198.9554 , 42.0292 ,    8.99 ,   -21.0
 35.6367 , 42.3467 ,    9.77 ,   -20.5
188.1121 , 42.7042 ,   11.20 ,   -17.3
187.5992 , 42.9014 ,    6.56 ,   -13.4
187.1842 , 43.2242 ,    8.90 ,   -16.2
183.8892 , 43.4342 ,   18.60 ,   -16.6
186.9242 , 43.4939 ,    2.74 ,   -14.3
198.0496 , 44.0386 ,    6.61 ,   -17.1
187.0467 , 44.0944 ,    4.21 ,   -18.3
192.3792 , 44.3592 ,    7.84 ,   -12.4
107.5567 , 44.4569 ,    7.87 ,   -16.5
216.1813 , 44.5258 ,    2.74 ,   -14.1
225.2887 , 44.6981 ,    7.40 ,   -15.1
187.1908 , 44.8644 ,    9.59 ,   -17.7
174.0267 , 45.2853 ,    3.03 ,   -13.1
184.3758 , 45.6194 ,    7.90 ,   -18.0
123.4954 , 45.7422 ,   12.20 ,   -18.3
185.3125 , 45.8114 ,    7.06 ,   -15.8
123.3113 , 45.9906 ,   12.20 ,   -18.4
185.1587 , 46.2917 ,    8.05 ,   -16.4
182.4971 , 46.4572 ,    7.24 ,   -17.7
184.5462 , 46.9169 ,    6.54 ,   -12.3
202.4696 , 47.2344 ,    8.40 ,   -21.4
202.4946 , 47.2681 ,    7.66 ,   -19.2
184.7396 , 47.3039 ,    7.83 ,   -21.2
184.4579 , 47.4092 ,    7.40 ,   -16.3
187.4708 , 47.5300 ,    7.14 ,   -15.2
145.0817 , 47.7772 ,    7.88 ,   -12.6
 53.0296 , 47.7936 ,    5.40 ,   -16.1
203.5121 , 47.9153 ,    8.00 ,   -15.6
123.1646 , 48.6125 ,   12.42 ,   -13.6
205.5838 , 48.6825 ,    7.44 ,   -13.1
123.6671 , 49.0617 ,   12.40 ,   -18.7
267.3650 , 70.1447 ,    5.27 ,   -18.3
287.1762 , 70.2839 ,    4.73 ,   -13.3
157.6458 , 70.6194 ,    4.00 ,   -14.7
124.7667 , 70.7142 ,    3.39 ,   -16.7
 68.2079 , 71.8811 ,    3.45 ,   -16.7
197.1425 , 78.9369 ,    1.99 ,   -11.9
165.0775 , 13.9011 ,   12.08 ,   -19.5
161.8429 , 14.0703 ,    7.73 ,   -15.2
169.8162 , 14.2903 ,   10.42 ,   -12.8
183.9846 , 14.4331 ,    9.10 ,   -14.9
298.0492 , 14.4733 ,    7.13 ,   -13.5
186.4458 , 14.9519 ,    7.90 ,   -14.1
159.2700 , 15.3375 ,   10.40 ,   -13.9
 24.1721 , 15.7867 ,    7.31 ,   -19.8
 16.8429 , 16.6839 ,    4.51 ,   -14.3
 22.1967 , 16.6881 ,    7.30 ,   -14.8
115.4792 , 16.8006 ,    8.05 ,   -16.1
156.2704 , 17.1636 ,    7.90 ,   -18.1
 51.0300 , 17.7542 ,    6.40 ,   -15.0
 23.1762 , 18.3158 ,    7.55 ,   -15.2
164.5092 , 19.5053 ,    7.37 ,   -13.9
183.8100 , 20.6586 ,    8.00 ,   -16.8
143.0400 , 21.5006 ,    8.87 ,   -20.9
194.1842 , 21.6847 ,    4.37 ,   -19.5
184.3917 , 22.5403 ,   17.20 ,   -18.4
157.0871 , 22.5714 ,   11.40 ,   -15.7
187.0121 , 22.5894 ,    9.20 ,   -13.7
187.1838 , 22.8225 ,    8.40 ,   -16.9
 31.0208 , 24.2078 ,    7.20 ,   -15.1
160.8758 , 24.9236 ,    6.85 ,   -18.9
203.1262 , 25.1236 ,    6.80 ,   -12.6
 44.9267 , 25.2375 ,    7.80 ,   -18.1
138.8575 , 25.4194 ,   21.70 ,   -13.2
191.7308 , 26.5642 ,   11.00 ,   -15.0
